CPU,Memory,Disk,DiskType,InnoDB,Warehouse,Connections,TpmC,IdleL,IdleR,LoadUtl,RunUtl,Cost,Cost Performance Ratio,System,Platform,Region,Zone,Provider
4,15,10,0,512,1,10,14792,71.7,13.0,28.3,87.0,97.49,0.0066,C,GCP,Iowa,us-central1-a,Google
4,15,10,0,1024,1,10,14663,70.8,13.3,29.2,86.7,97.49,0.0066,C,GCP,Iowa,us-central1-a,Google
16,60,10,0,16,1,10,1550,92.4,95.8,7.6,4.2,388.76,0.2508,F,GCP,Iowa,us-central1-a,Google
16,60,10,0,32,1,10,3581,92.9,91.6,7.1,8.4,388.76,0.1086,F,GCP,Iowa,us-central1-a,Google
16,60,10,0,64,1,10,10860,92.5,78.4,7.5,21.6,388.76,0.0358,F,GCP,Iowa,us-central1-a,Google
16,60,10,0,128,1,10,23945,92.8,66.5,7.2,33.5,388.76,0.0162,F,GCP,Iowa,us-central1-a,Google
16,60,10,0,256,1,10,25066,93.2,65.9,6.8,34.1,388.76,0.0155,F,GCP,Iowa,us-central1-a,Google
16,60,10,0,512,1,10,25158,92.2,65.5,7.8,34.5,388.76,0.0155,F,GCP,Iowa,us-central1-a,Google
16,60,10,0,1024,1,10,24808,92.5,66.1,7.5,33.9,388.76,0.0157,F,GCP,Iowa,us-central1-a,Google
1,3.75,500,0,16,1,10,3010,6.2,30.9,93.8,69.1,44.27,0.0147,A,GCP,Iowa,us-central1-a,Google
1,3.75,500,0,32,1,10,4116,7.0,14.5,93.0,85.5,44.27,0.0108,A,GCP,Iowa,us-central1-a,Google
1,3.75,500,0,64,1,10,5089,6.8,6.4,93.2,93.6,44.27,0.0087,A,GCP,Iowa,us-central1-a,Google
1,3.75,500,0,128,1,10,5457,6.5,2.2,93.5,97.8,44.27,0.0081,A,GCP,Iowa,us-central1-a,Google
1,3.75,500,0,256,1,10,5461,7.3,23.1,92.7,76.9,44.27,0.0081,A,GCP,Iowa,us-central1-a,Google
1,3.75,500,0,512,1,10,5506,6.2,2.4,93.8,97.6,44.27,0.0080,A,GCP,Iowa,us-central1-a,Google
1,3.75,500,0,1024,1,10,5449,6.5,1.9,93.5,98.1,44.27,0.0081,A,GCP,Iowa,us-central1-a,Google
2,7.5,500,0,16,1,10,3702,45.2,31.9,54.8,68.1,68.54,0.0185,B,GCP,Iowa,us-central1-a,Google
2,7.5,500,0,32,1,10,5659,44.8,17.7,55.2,82.3,68.54,0.0121,B,GCP,Iowa,us-central1-a,Google
2,7.5,500,0,64,1,10,7254,45.4,7.3,54.6,92.7,68.54,0.0094,B,GCP,Iowa,us-central1-a,Google
2,7.5,500,0,128,1,10,8195,45.1,3.0,54.9,97.0,68.54,0.0084,B,GCP,Iowa,us-central1-a,Google
2,7.5,500,0,256,1,10,8239,44.8,2.7,55.2,97.3,68.54,0.0083,B,GCP,Iowa,us-central1-a,Google
2,7.5,500,0,512,1,10,8306,45.0,2.9,55.0,97.1,68.54,0.0083,B,GCP,Iowa,us-central1-a,Google
2,7.5,500,0,1024,1,10,8251,45.3,3.1,54.7,96.9,68.54,0.0083,B,GCP,Iowa,us-central1-a,Google
4,15,500,0,16,1,10,3678,70.9,55.9,29.1,44.1,117.09,0.0318,C,GCP,Iowa,us-central1-a,Google
4,15,500,0,32,1,10,7536,71.2,35.8,28.8,64.2,117.09,0.0155,C,GCP,Iowa,us-central1-a,Google
4,15,500,0,64,1,10,11278,71.9,18.3,28.1,81.7,117.09,0.0104,C,GCP,Iowa,us-central1-a,Google
4,15,500,0,128,1,10,13261,71.3,9.8,28.7,90.2,117.09,0.0088,C,GCP,Iowa,us-central1-a,Google
4,15,500,0,256,1,10,13601,70.8,10.4,29.2,89.6,117.09,0.0086,C,GCP,Iowa,us-central1-a,Google
4,15,500,0,512,1,10,13825,72.3,11.6,27.7,88.4,117.09,0.0085,C,GCP,Iowa,us-central1-a,Google
4,15,500,0,1024,1,10,13568,71.2,10.7,28.8,89.3,117.09,0.0086,C,GCP,Iowa,us-central1-a,Google
16,60,500,0,16,1,10,3927,92.8,88.3,7.2,11.7,408.36,0.1040,F,GCP,Iowa,us-central1-a,Google
16,60,500,0,32,1,10,8375,92.9,77.1,7.1,22.9,408.36,0.0488,F,GCP,Iowa,us-central1-a,Google
16,60,500,0,64,1,10,15682,92.5,69.8,7.5,30.2,408.36,0.0260,F,GCP,Iowa,us-central1-a,Google
16,60,500,0,128,1,10,21924,93.0,64.6,7.0,35.4,408.36,0.0186,F,GCP,Iowa,us-central1-a,Google
16,60,500,0,256,1,10,22821,92.6,63.9,7.4,36.1,408.36,0.0179,F,GCP,Iowa,us-central1-a,Google
16,60,500,0,512,1,10,22524,93.1,64.3,6.9,35.7,408.36,0.0181,F,GCP,Iowa,us-central1-a,Google
16,60,500,0,1024,1,10,22730,93.3,64.5,6.7,35.5,408.36,0.0180,F,GCP,Iowa,us-central1-a,Google
1,3.75,10,0,16,5,10,753,5.6,76.2,94.4,23.8,24.67,0.0328,A,GCP,Iowa,us-central1-a,Google
1,3.75,10,0,32,5,10,1060,6.1,70.3,93.9,29.7,24.67,0.0233,A,GCP,Iowa,us-central1-a,Google
1,3.75,10,0,64,5,10,1644,5.9,61.8,94.1,38.2,24.67,0.0150,A,GCP,Iowa,us-central1-a,Google
1,3.75,10,0,128,5,10,3230,6.9,36.7,93.1,63.3,24.67,0.0076,A,GCP,Iowa,us-central1-a,Google
1,3.75,10,0,256,5,10,4549,7.1,6.3,92.9,93.7,24.67,0.0054,A,GCP,Iowa,us-central1-a,Google
1,3.75,10,0,512,5,10,4890,6.0,2.8,94.0,97.2,24.67,0.0050,A,GCP,Iowa,us-central1-a,Google
1,3.75,10,0,1024,5,10,4867,5.7,2.6,94.3,97.4,24.67,0.0051,A,GCP,Iowa,us-central1-a,Google
2,7.5,10,0,16,5,10,787,43.3,82.9,56.7,17.1,48.94,0.0622,B,GCP,Iowa,us-central1-a,Google
2,7.5,10,0,32,5,10,1086,44.2,77.2,55.8,22.8,48.94,0.0451,B,GCP,Iowa,us-central1-a,Google
2,7.5,10,0,64,5,10,1729,44.2,70.8,55.8,29.2,48.94,0.0283,B,GCP,Iowa,us-central1-a,Google
2,7.5,10,0,128,5,10,3378,44.6,50.8,55.4,49.2,48.94,0.0145,B,GCP,Iowa,us-central1-a,Google
2,7.5,10,0,256,5,10,6771,45.7,4.7,54.3,95.3,48.94,0.0072,B,GCP,Iowa,us-central1-a,Google
2,7.5,10,0,512,5,10,7162,45.0,2.2,55.0,97.8,48.94,0.0068,B,GCP,Iowa,us-central1-a,Google
2,7.5,10,0,1024,5,10,7139,43.9,2.4,56.1,97.6,48.94,0.0069,B,GCP,Iowa,us-central1-a,Google
4,15,10,0,16,5,10,800,70.7,88.5,29.3,11.5,97.49,0.1219,C,GCP,Iowa,us-central1-a,Google
4,15,10,0,32,5,10,1111,71.1,86.2,28.9,13.8,97.49,0.0877,C,GCP,Iowa,us-central1-a,Google
4,15,10,0,64,5,10,1782,71.2,80.7,28.8,19.3,97.49,0.0547,C,GCP,Iowa,us-central1-a,Google
4,15,10,0,128,5,10,3501,70.9,62.3,29.1,37.7,97.49,0.0278,C,GCP,Iowa,us-central1-a,Google
4,15,10,0,256,5,10,8255,71.8,22.8,28.2,77.2,97.49,0.0118,C,GCP,Iowa,us-central1-a,Google
